addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,1號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村1號,202561.037,2640722.695,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,2號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村2號,202556.31,2640722.695,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,3號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村3號,202551.731,2640722.096,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,4號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村4號,202547.004,2640721.645,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,5號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村5號,202542.426,2640721.044,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,6號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村6號,202538.074,2640720.519,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,7號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村7號,202533.27,2640720.219,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,8號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村8號,202529.668,2640720.069,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,9號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村9號,202525.166,2640719.544,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,10號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村10號,202521.188,2640719.169,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,11號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村11號,202516.685,2640718.569,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,12號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村12號,202512.333,2640718.419,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,13號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村13號,202508.206,2640717.818,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,14號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村14號,202504.153,2640717.368,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,15號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村15號,202500.176,2640716.917,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,16號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村16號,202495.673,2640715.792,170727,彰化縣政府
TW,台灣省,彰化縣,北斗鎮,東光里,5,斗中路,七巧新村,17號,,,彰化縣北斗鎮東光里5鄰斗中路七巧新村17號,202490.795,2640715.342,170727,彰化縣政府
