addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:unit,addr:full,description,x,y,addr:TW:dataset,source
TW,台灣省,嘉義縣,太保市,太保里,1,,太保,22號,,嘉義縣太保市太保里1鄰太保22號,嘉義縣太保市戶政事務所,181758.69,2594748.72,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,大葛里,22,,大槺榔,1533號,,嘉義縣朴子市大葛里22鄰大槺榔1533號,農業資材室不得作為住宅使用,175478.55,2595662.58,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,大鄉里,19,,大槺榔,372號,,嘉義縣朴子市大鄉里19鄰大槺榔372號,農業資材室不得作為住宅使用,174106.83,2595325.2,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,大鄉里,6,,大槺榔,217號,,嘉義縣朴子市大鄉里6鄰大槺榔217號,已拆除,174501.06,2595301.77,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,崁前里,8,,崁前,43之9號,,嘉義縣朴子市崁前里8鄰崁前43之9號,農業資材室不得設籍,172515.22,2593233.89,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,崁後里,12,,崁後,126之6號,,嘉義縣朴子市崁後里12鄰崁後126之6號,農業資材室不得作為住宅使用,170968.63,2593287.78,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,平和里,8,光復路,,35號,,嘉義縣朴子市平和里8鄰光復路35號,嘉義縣朴子市戶政事務所,173000.38,2596002.93,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,德興里,3,,新吉庄,232之8號,,嘉義縣朴子市德興里3鄰新吉庄232之8號,農業資材室不得作為住宅使用,175378.4,2597285.29,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,松華里,12,,牛挑灣,230之56號,,嘉義縣朴子市松華里12鄰牛挑灣230之56號,農業資材室不得作為住宅使用,173264.92,2589427.79,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,永和里,10,,𧃽菜埔,102之21號,,嘉義縣朴子市永和里10鄰𧃽菜埔102之21號,農業資材室不得作為住宅使用,171382.13,2596021.51,172873,嘉義縣政府
TW,台灣省,嘉義縣,朴子市,永和里,4,,𧃽菜埔,29號,6,嘉義縣朴子市永和里4鄰𧃽菜埔29號之6,違建附號,172002.72,2595853.27,172873,嘉義縣政府
TW,台灣省,嘉義縣,布袋鎮,光復里,11,自由路,,1號,,嘉義縣布袋鎮光復里11鄰自由路1號,嘉義縣布袋鎮戶政事務所,164782.7,2586407,172873,嘉義縣政府
TW,台灣省,嘉義縣,大林鎮,中坑里,1,,沙崙,1之9號,,嘉義縣大林鎮中坑里1鄰沙崙1之9號,精北營區,198911.28,2609031.8,172873,嘉義縣政府
TW,台灣省,嘉義縣,大林鎮,西林里,10,中山路,,86號,,嘉義縣大林鎮西林里10鄰中山路86號,大林鎮戶政事務所,194399.92,2611139.77,172873,嘉義縣政府
TW,台灣省,嘉義縣,民雄鄉,東榮村,15,民族路,,21號,1,嘉義縣民雄鄉東榮村15鄰民族路21號之1,嘉義縣民雄鄉戶政事務所,191897.45,2605861.85,172873,嘉義縣政府
TW,台灣省,嘉義縣,溪口鄉,坪頂村,5,,下坪,21號,3,嘉義縣溪口鄉坪頂村5鄰下坪21號之3,資材室,190042.99,2610751.92,172873,嘉義縣政府
TW,台灣省,嘉義縣,溪口鄉,坪頂村,11,,竹圍仔,22之6號,,嘉義縣溪口鄉坪頂村11鄰竹圍仔22之6號,資材室,189257.81,2611105.6,172873,嘉義縣政府
TW,台灣省,嘉義縣,溪口鄉,坪頂村,1,,頂坪,5號,7,嘉義縣溪口鄉坪頂村1鄰頂坪5號之7,資材室,190631.69,2611192.98,172873,嘉義縣政府
TW,台灣省,嘉義縣,溪口鄉,坪頂村,1,,頂坪,5號,6,嘉義縣溪口鄉坪頂村1鄰頂坪5號之6,資材室,190618.19,2611199.86,172873,嘉義縣政府
TW,台灣省,嘉義縣,溪口鄉,妙崙村,2,,上崙,15之3號,,嘉義縣溪口鄉妙崙村2鄰上崙15之3號,農業資材室,189902.69,2609629.49,172873,嘉義縣政府
