addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:unit,addr:full,description,x,y,source,source:url
TW,台灣省,新竹縣,竹北市,尚義里,8,尚義街,,500號,,,新竹縣竹北市尚義里8鄰尚義街500號,本門牌不得設戶籍,246481.92,2751471.4,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,新國里,15,環北路五段,,236號,,,新竹縣竹北市新國里15鄰環北路五段236號,本門牌不可設戶籍,249505.04,2747921.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,新港里,1,西濱路一段200巷,,41號,,,新竹縣竹北市新港里1鄰西濱路一段200巷41號,本門牌不能設戶籍,244685.18,2749682.29,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,東海里,1,東興路二段,,968號,,,新竹縣竹北市東海里1鄰東興路二段968號,本門牌不可設戶籍,256601.87,2742107.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,東興里,7,嘉祥一街,,59號,,,新竹縣竹北市東興里7鄰嘉祥一街59號,本門牌不可設戶籍,253248.54,2745812.05,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,白地里,6,中正西路1532巷,,72號,,,新竹縣竹北市白地里6鄰中正西路1532巷72號,本門牌不可設戶籍,246378.53,2748409.93,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,白地里,13,港安街一段,,85號,,,新竹縣竹北市白地里13鄰港安街一段85號,臨,本門牌不能設戶籍,244660.85,2748652.03,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,白地里,2,長青路一段,,309號,,,新竹縣竹北市白地里2鄰長青路一段309號,本門牌不得設戶籍,245740.87,2749087.1,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,白地里,4,長青路一段,,360號,,,新竹縣竹北市白地里4鄰長青路一段360號,本門牌不可設戶籍,245795.69,2749150.7,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹北里,22,環北路一段,,178號,,,新竹縣竹北市竹北里22鄰環北路一段178號,本門牌不得設戶籍,252146.98,2747930.61,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
