source,addr:TW:dataset,addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,x,y
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41號,2,,新竹市東區光明里8鄰光復路二段清大西院41號二樓,250064.06,2742834.94
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,6,,新竹市東區光明里8鄰光復路二段清大西院18號六樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,8,,新竹市東區光明里8鄰光復路二段清大西院19號八樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,1號,,,新竹市東區光明里8鄰光復路二段清大西院1號,249003.71,2743393.45
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,1號,,,新竹市東區光明里7鄰光復路二段清大東院1號,249794.22,2743089.56
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,2號,,,新竹市東區光明里8鄰光復路二段清大西院2號,249003.71,2743390.01
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,2號,,,新竹市東區光明里7鄰光復路二段清大東院2號,249795.66,2743122.03
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,3號,,,新竹市東區光明里8鄰光復路二段清大西院3號,248989.96,2743389.48
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,3號,,,新竹市東區光明里7鄰光復路二段清大東院3號,249816.54,2743067.04
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,4號,,,新竹市東區光明里7鄰光復路二段清大東院4號,249824.59,2743097.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,4號,2,,新竹市東區光明里8鄰光復路二段清大西院4號二樓,248989.43,2743392.13
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,5號,,,新竹市東區光明里7鄰光復路二段清大東院5號,249840.33,2743038.38
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,5號,,,新竹市東區光明里8鄰光復路二段清大西院5號,249005.57,2743382.6
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,6號,,,新竹市東區光明里7鄰光復路二段清大東院6號,250074.07,2742757.84
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,6號,,,新竹市東區光明里8鄰光復路二段清大西院6號,249005.83,2743379.43
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,7號,,,新竹市東區光明里8鄰光復路二段清大西院7號,248978.84,2743379.43
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,7號,,,新竹市東區光明里7鄰光復路二段清大東院7號,249855.94,2743016.68
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,8號,,,新竹市東區光明里8鄰光復路二段清大西院8號,248979.37,2743382.34
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,9號,,,新竹市東區光明里7鄰光復路二段清大東院9號,249873.22,2742996.5
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,9號,,,新竹市東區光明里8鄰光復路二段清大西院9號,248991.54,2743365.14
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,10號,,,新竹市東區光明里7鄰光復路二段清大東院10號,249886.41,2743030.94
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,10號,,,新竹市東區光明里8鄰光復路二段清大西院10號,248991.28,2743361.17
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,11號,,,新竹市東區光明里8鄰光復路二段清大西院11號,248971.96,2743360.11
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,11號,,,新竹市東區光明里7鄰光復路二段清大東院11號,249946.07,2742893.79
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,12號,,,新竹市東區光明里7鄰光復路二段清大東院12號,249956.71,2742894.99
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,12號,,,新竹市東區光明里8鄰光復路二段清大西院12號,248973.82,2743364.61
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,13號,,,新竹市東區光明里8鄰光復路二段清大西院13號,248993.39,2743354.03
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,14號,,,新竹市東區光明里8鄰光復路二段清大西院14號,248993.66,2743350.32
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,15號,,,新竹市東區光明里7鄰光復路二段清大東院15號,249992.25,2742895.88
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,15號,,,新竹市東區光明里8鄰光復路二段清大西院15號,248977.78,2743349.79
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,16號,,,新竹市東區光明里7鄰光復路二段清大東院16號,249999.78,2742895.88
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,16號,2,,新竹市東區光明里8鄰光復路二段清大西院16號二樓,248977.4,2743352.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,,,新竹市東區光明里8鄰光復路二段清大西院17號,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,2,,新竹市東區光明里8鄰光復路二段清大西院17號二樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,3,,新竹市東區光明里8鄰光復路二段清大西院17號三樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,4,,新竹市東區光明里8鄰光復路二段清大西院17號四樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,5,,新竹市東區光明里8鄰光復路二段清大西院17號五樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,6,,新竹市東區光明里8鄰光復路二段清大西院17號六樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,7,,新竹市東區光明里8鄰光復路二段清大西院17號七樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,17號,8,,新竹市東區光明里8鄰光復路二段清大西院17號八樓,248990.24,2743332.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,,,新竹市東區光明里8鄰光復路二段清大西院18號,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,18號,,,新竹市東區光明里7鄰光復路二段清大東院18號,250001.34,2742877.7
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,2,,新竹市東區光明里8鄰光復路二段清大西院18號二樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,3,,新竹市東區光明里8鄰光復路二段清大西院18號三樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,4,,新竹市東區光明里8鄰光復路二段清大西院18號四樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,5,,新竹市東區光明里8鄰光復路二段清大西院18號五樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,7,,新竹市東區光明里8鄰光復路二段清大西院18號七樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18號,8,,新竹市東區光明里8鄰光復路二段清大西院18號八樓,248990.08,2743320.92
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,18之5號,6,,新竹市東區光明里8鄰光復路二段清大西院18之5號六樓,248984.13,2743321.48
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,19號,,,新竹市東區光明里7鄰光復路二段清大東院19號,249996.99,2742858.22
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,,,新竹市東區光明里8鄰光復路二段清大西院19號,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,2,,新竹市東區光明里8鄰光復路二段清大西院19號二樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,3,,新竹市東區光明里8鄰光復路二段清大西院19號三樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,4,,新竹市東區光明里8鄰光復路二段清大西院19號四樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,5,,新竹市東區光明里8鄰光復路二段清大西院19號五樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,6,,新竹市東區光明里8鄰光復路二段清大西院19號六樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,19號,7,,新竹市東區光明里8鄰光復路二段清大西院19號七樓,248976.45,2743323.69
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,,,新竹市東區光明里8鄰光復路二段清大西院20號,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,20號,,,新竹市東區光明里7鄰光復路二段清大東院20號,250005.88,2742858.61
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,2,,新竹市東區光明里8鄰光復路二段清大西院20號二樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,3,,新竹市東區光明里8鄰光復路二段清大西院20號三樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,4,,新竹市東區光明里8鄰光復路二段清大西院20號四樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,5,,新竹市東區光明里8鄰光復路二段清大西院20號五樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,6,,新竹市東區光明里8鄰光復路二段清大西院20號六樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,7,,新竹市東區光明里8鄰光復路二段清大西院20號七樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,8,,新竹市東區光明里8鄰光復路二段清大西院20號八樓,248976.12,2743330.76
