addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:place,addr:housenumber,addr:unit,addr:full,description,x_3826,y_3826
168887,新北市政府,TW,新北市,淡水區,中和里,001,小中寮,8號,,新北市淡水區中和里001鄰小中寮8號,農業資材室不供設籍,298389.3363302997,2791777.8397885603
168887,新北市政府,TW,新北市,淡水區,中和里,001,小中寮,10號,1,新北市淡水區中和里001鄰小中寮10號之1,農業資材室,298730.7649139844,2791714.616730298
168887,新北市政府,TW,新北市,淡水區,中和里,001,小中寮,10號,2,新北市淡水區中和里001鄰小中寮10號之2,農業資材室,298762.2764954584,2791781.650281045
168887,新北市政府,TW,新北市,淡水區,中和里,002,小中寮,13之7號,,新北市淡水區中和里002鄰小中寮13之7號,農業資材室不供設籍,298864.59963611496,2791471.442559402
168887,新北市政府,TW,新北市,淡水區,中和里,002,小中寮,13之6號,,新北市淡水區中和里002鄰小中寮13之6號,農業資材室不供設籍,298864.53207089693,2791460.2081074784
168887,新北市政府,TW,新北市,淡水區,中和里,004,梀板頭,23之6號,,新北市淡水區中和里004鄰梀板頭23之6號,農業資材室不供設籍,299243.3654557443,2791562.553636884
168887,新北市政府,TW,新北市,淡水區,中和里,004,梀板頭,23之7號,,新北市淡水區中和里004鄰梀板頭23之7號,農業資材室不供設籍,299183.752809689,2791576.715607249
168887,新北市政府,TW,新北市,淡水區,中和里,004,梀板頭,23號,10,新北市淡水區中和里004鄰梀板頭23號之10,農業資材室,299301.47586867,2791537.958576035
168887,新北市政府,TW,新北市,淡水區,中和里,008,小中寮,3號,6,新北市淡水區中和里008鄰小中寮3號之6,農業資材室,299551.2937507846,2790841.958192505
168887,新北市政府,TW,新北市,淡水區,中和里,008,崙頂,5之3號,,新北市淡水區中和里008鄰崙頂5之3號,農業資材室不供設籍,299719.69620384974,2790722.5404445706
168887,新北市政府,TW,新北市,淡水區,中和里,011,北勢子,13之3號,,新北市淡水區中和里011鄰北勢子13之3號,農業資材室不供設籍,298177.2719,2791457.1514
168887,新北市政府,TW,新北市,淡水區,中和里,003,小中寮,19之10號,,新北市淡水區中和里003鄰小中寮19之10號,農業資料室不供設籍,298924.9058,2791106.7581
168887,新北市政府,TW,新北市,淡水區,中和里,001,小中寮,9之13號,,新北市淡水區中和里001鄰小中寮9之13號,農業資材室不供設籍,298649.85360000003,2791769.4701
168887,新北市政府,TW,新北市,淡水區,中和里,006,小中寮,32之2號,,新北市淡水區中和里006鄰小中寮32之2號,農業資材室不供設籍,299480.9414,2790866.9862
168887,新北市政府,TW,新北市,淡水區,中和里,003,小中寮,15之7號,,新北市淡水區中和里003鄰小中寮15之7號,農業資材室不供設籍,298821.4963,2791414.5988000003
168887,新北市政府,TW,新北市,淡水區,中和里,003,小中寮,15之6號,,新北市淡水區中和里003鄰小中寮15之6號,農業資材室不供設籍,298858.7769,2791418.2272
168887,新北市政府,TW,新北市,淡水區,中和里,003,小中寮,15之8號,,新北市淡水區中和里003鄰小中寮15之8號,農業資材室不供設籍,298799.4693,2791324.5768999997
168887,新北市政府,TW,新北市,淡水區,中和里,006,小中寮,38號,,新北市淡水區中和里006鄰小中寮38號,農業資材室不供設籍,299129.3541,2791004.316
168887,新北市政府,TW,新北市,淡水區,中和里,003,小中寮,15之9號,,新北市淡水區中和里003鄰小中寮15之9號,農業資材室不供設籍,298781.6671,2791315.106
168887,新北市政府,TW,新北市,淡水區,中和里,006,小中寮,39號,,新北市淡水區中和里006鄰小中寮39號,農業資材室,299101.125200,2791009.6808000
