addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,description,x_3826,y_3826
168887,新北市政府,TW,新北市,板橋區,和平里,005,五權街30巷37弄,2之14號,,,新北市板橋區和平里005鄰五權街30巷37弄2之14號,管理員室不供設籍用,296754.762917,2765087.2024083
168887,新北市政府,TW,新北市,板橋區,和平里,012,國慶路158巷,18號,,,新北市板橋區和平里012鄰國慶路158巷18號,警衛室不供設籍,296588.2378,2765338.2929333
168887,新北市政府,TW,新北市,板橋區,和平里,003,廣和街,58號,B1,,新北市板橋區和平里003鄰廣和街58號地下一層,管理室不供設籍使用,296645.061997,2765197.1795560
168887,新北市政府,TW,新北市,板橋區,和平里,010,廣和街,59之5號,,,新北市板橋區和平里010鄰廣和街59之5號,警衛室不供設籍,296740.630326,2765105.5905077
168887,新北市政府,TW,新北市,板橋區,崑崙里,026,大觀路三段,150之1號,,,新北市板橋區崑崙里026鄰大觀路三段150之1號,管理員室不供設籍,293536.52537487895,2765158.7823483064
168887,新北市政府,TW,新北市,板橋區,成和里,007,金門街,79號,,,新北市板橋區成和里007鄰金門街79號,公共空間不供設籍使用,293741.923817,2765037.7839417
168887,新北市政府,TW,新北市,板橋區,成和里,013,金門街,163之1號,B1,,新北市板橋區成和里013鄰金門街163之1號地下一層,管理員室不供設籍用,293679.932920,2764771.6278813
168887,新北市政府,TW,新北市,板橋區,文化里,012,文化路二段,175之1號,,,新北市板橋區文化里012鄰文化路二段175之1號,辦公室不供設戶籍,297468.609483,2768951.15965
168887,新北市政府,TW,新北市,板橋區,新埔里,001,陽明街,46之2號,2,,新北市板橋區新埔里001鄰陽明街46之2號二樓,管委會辦公室不供設籍,296998.198350,2768300.3105368
168887,新北市政府,TW,新北市,板橋區,新民里,001,縣民大道二段,3號,2,1,新北市板橋區新民里001鄰縣民大道二段3號二樓之1,公共空間不供設戶籍,296651.704775,2767202.117025
168887,新北市政府,TW,新北市,板橋區,新翠里,008,英士路58巷,20之1號,,,新北市板橋區新翠里008鄰英士路58巷20之1號,辦公室不供設籍,296477.9022634676,2768684.856666365
168887,新北市政府,TW,新北市,板橋區,新興里,008,南雅南路一段,25號,,,新北市板橋區新興里008鄰南雅南路一段25號,公共空間不供設籍使用,296081.636942,2766601.5001333
168887,新北市政府,TW,新北市,板橋區,東丘里,001,民生路一段,36之1號,B1,,新北市板橋區東丘里001鄰民生路一段36之1號地下一層,管理員室不供設籍,297899.390283,2767458.0974750
168887,新北市政府,TW,新北市,板橋區,東安里,009,漢生東路,195之1號,,,新北市板橋區東安里009鄰漢生東路195之1號,新北市板橋區戶政海山辦事處,297444.869935,2767145.4050387
168887,新北市政府,TW,新北市,板橋區,柏翠里,010,文化路二段441巷,6之1號,B1,,新北市板橋區柏翠里010鄰文化路二段441巷6之1號地下1層,管理室不設籍,297863.681435,2769603.5189931
