addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x_3826,y_3826
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,87,新北市板橋區景星里011鄰中山路一段2號地下一樓87號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,85,新北市板橋區景星里011鄰中山路一段2號地下一樓85號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,22,新北市板橋區景星里011鄰中山路一段2號地下一樓22號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,76,新北市板橋區景星里011鄰中山路一段2號地下一樓76號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,30,新北市板橋區景星里011鄰中山路一段2號地下一樓30號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,74,新北市板橋區景星里011鄰中山路一段2號地下一樓74號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,32,新北市板橋區景星里011鄰中山路一段2號地下一樓32號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,88,新北市板橋區景星里011鄰中山路一段2號地下一樓88號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,9,新北市板橋區景星里011鄰中山路一段2號地下一樓9號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,11,新北市板橋區景星里011鄰中山路一段2號地下一樓11號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,47,新北市板橋區景星里011鄰中山路一段2號地下一樓47號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,12,新北市板橋區景星里011鄰中山路一段2號地下一樓12號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,67,新北市板橋區景星里011鄰中山路一段2號地下一樓67號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,25,新北市板橋區景星里011鄰中山路一段2號地下一樓25號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,86,新北市板橋區景星里011鄰中山路一段2號地下一樓86號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,44,新北市板橋區景星里011鄰中山路一段2號地下一樓44號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,75,新北市板橋區景星里011鄰中山路一段2號地下一樓75號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,14,新北市板橋區景星里011鄰中山路一段2號地下一樓14號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,38,新北市板橋區景星里011鄰中山路一段2號地下一樓38號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,61,新北市板橋區景星里011鄰中山路一段2號地下一樓61號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,46,新北市板橋區景星里011鄰中山路一段2號地下一樓46號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,13,新北市板橋區景星里011鄰中山路一段2號地下一樓13號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,1,新北市板橋區景星里011鄰中山路一段2號地下一樓1號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,72,新北市板橋區景星里011鄰中山路一段2號地下一樓72號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,6,新北市板橋區景星里011鄰中山路一段2號地下一樓6號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,29,新北市板橋區景星里011鄰中山路一段2號地下一樓29號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,52,新北市板橋區景星里011鄰中山路一段2號地下一樓52號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,66,新北市板橋區景星里011鄰中山路一段2號地下一樓66號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,55,新北市板橋區景星里011鄰中山路一段2號地下一樓55號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,28,新北市板橋區景星里011鄰中山路一段2號地下一樓28號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,27,新北市板橋區景星里011鄰中山路一段2號地下一樓27號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,31,新北市板橋區景星里011鄰中山路一段2號地下一樓31號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,41,新北市板橋區景星里011鄰中山路一段2號地下一樓41號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,80,新北市板橋區景星里011鄰中山路一段2號地下一樓80號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,35,新北市板橋區景星里011鄰中山路一段2號地下一樓35號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,84,新北市板橋區景星里011鄰中山路一段2號地下一樓84號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,73,新北市板橋區景星里011鄰中山路一段2號地下一樓73號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,26,新北市板橋區景星里011鄰中山路一段2號地下一樓26號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,56,新北市板橋區景星里011鄰中山路一段2號地下一樓56號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,19,新北市板橋區景星里011鄰中山路一段2號地下一樓19號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,49,新北市板橋區景星里011鄰中山路一段2號地下一樓49號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,83,新北市板橋區景星里011鄰中山路一段2號地下一樓83號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,3,新北市板橋區景星里011鄰中山路一段2號地下一樓3號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,53,新北市板橋區景星里011鄰中山路一段2號地下一樓53號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,40,新北市板橋區景星里011鄰中山路一段2號地下一樓40號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,48,新北市板橋區景星里011鄰中山路一段2號地下一樓48號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,23,新北市板橋區景星里011鄰中山路一段2號地下一樓23號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,17,新北市板橋區景星里011鄰中山路一段2號地下一樓17號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,8,新北市板橋區景星里011鄰中山路一段2號地下一樓8號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,81,新北市板橋區景星里011鄰中山路一段2號地下一樓81號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,42,新北市板橋區景星里011鄰中山路一段2號地下一樓42號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,69,新北市板橋區景星里011鄰中山路一段2號地下一樓69號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,45,新北市板橋區景星里011鄰中山路一段2號地下一樓45號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,57,新北市板橋區景星里011鄰中山路一段2號地下一樓57號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,50,新北市板橋區景星里011鄰中山路一段2號地下一樓50號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,68,新北市板橋區景星里011鄰中山路一段2號地下一樓68號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,78,新北市板橋區景星里011鄰中山路一段2號地下一樓78號,296396.551600,2766670.0650000
