addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,8,中央街,1號,,,澎湖縣馬公市中央里8鄰中央街1號,307617.976,2606881.151,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街1巷,3號,,,澎湖縣馬公市中央里9鄰中央街1巷3號,307626.115,2606911.974,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,4號,,,澎湖縣馬公市中央里10鄰中央街1巷4號,307624.258,2606919.496,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街1巷,5號,,,澎湖縣馬公市中央里9鄰中央街1巷5號,307621.657,2606909.467,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,6號,,,澎湖縣馬公市中央里10鄰中央街1巷6號,307617.107,2606920.054,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街1巷,7號,,,澎湖縣馬公市中央里9鄰中央街1巷7號,307615.157,2606907.424,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,8之1號,,,澎湖縣馬公市中央里10鄰中央街1巷8之1號,307616.59,2606931.624,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,8號,,,澎湖縣馬公市中央里10鄰中央街1巷8號,307611.349,2606919.496,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街1巷,9號,,,澎湖縣馬公市中央里9鄰中央街1巷9號,307609.213,2606907.703,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,10號,,,澎湖縣馬公市中央里10鄰中央街1巷10號,307602.341,2606918.846,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街1巷,11號,,,澎湖縣馬公市中央里9鄰中央街1巷11號,307602.619,2606907.702,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,10,中央街1巷,12號,,,澎湖縣馬公市中央里10鄰中央街1巷12號,307596.583,2606916.897,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,2號,,,澎湖縣馬公市中央里4鄰中央街2號,307630.47,2606880.09,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,8,中央街,3號,,,澎湖縣馬公市中央里8鄰中央街3號,307621.042,2606885.366,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,8,中央街,3之1號,,,澎湖縣馬公市中央里8鄰中央街3之1號,307622.848,2606887.46,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,8,中央街,5號,,,澎湖縣馬公市中央里8鄰中央街5號,307627.215,2606892.206,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,8,中央街,5之1號,,,澎湖縣馬公市中央里8鄰中央街5之1號,307625.099,2606889.794,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,6號,,,澎湖縣馬公市中央里4鄰中央街6號,307638.345,2606885.921,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,7之1號,,,澎湖縣馬公市中央里9鄰中央街7之1號,307632.291,2606896.639,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,7號,,1,澎湖縣馬公市中央里9鄰中央街7號之1,307663.511,2606914.951,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,7號,,,澎湖縣馬公市中央里9鄰中央街7號,307630.168,2606893.796,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,8號,,,澎湖縣馬公市中央里4鄰中央街8號,307641.829,2606888.42,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,9之1號,,,澎湖縣馬公市中央里9鄰中央街9之1號,307637.134,2606900.08,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,9號,,,澎湖縣馬公市中央里9鄰中央街9號,307635.468,2606897.885,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,10號,,,澎湖縣馬公市中央里4鄰中央街10號,307645.614,2606891.449,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,11號,,,澎湖縣馬公市中央里9鄰中央街11號,307639.936,2606904.472,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,12號,,,澎湖縣馬公市中央里4鄰中央街12號,307649.552,2606894.781,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,13號,,,澎湖縣馬公市中央里9鄰中央街13號,307644.291,2606908.333,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,14號,,,澎湖縣馬公市中央里4鄰中央街14號,307651.445,2606897.96,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,4,中央街,14之1號,,,澎湖縣馬公市中央里4鄰中央街14之1號,307652.964,2606900.767,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,15號,,,澎湖縣馬公市中央里9鄰中央街15號,307646.822,2606913.199,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,16號,,,澎湖縣馬公市中央里2鄰中央街16號,307658.016,2606906.289,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,9,中央街,17號,,,澎湖縣馬公市中央里9鄰中央街17號,307648.867,2606916.314,170852,澎湖縣政府
