addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,description,x,y,addr:TW:dataset,source
TW,台灣省,屏東縣,屏東市,勝利里,3,自由路,,531號,,屏東縣屏東市勝利里3鄰自由路531號,屏東縣屏東市戶政事務所,197274.62,2509220.3,170847,屏東縣政府
TW,台灣省,屏東縣,屏東市,大武里,47,永大路,,51號,,屏東縣屏東市大武里47鄰永大路51號,市場用地不得設戶籍,196511.24,2506836.12,170847,屏東縣政府
TW,台灣省,屏東縣,屏東市,大湖里,5,大湖路,,689號,,屏東縣屏東市大湖里5鄰大湖路689號,畜牧設施不得設戶籍,198561.03,2502673.5,170847,屏東縣政府
TW,台灣省,屏東縣,屏東市,新興里,1,公興路368巷109弄,,7號,,屏東縣屏東市新興里1鄰公興路368巷109弄7號,雞舍不得設戶籍,196103.38,2504834,170847,屏東縣政府
TW,台灣省,屏東縣,屏東市,湖南里,11,,歸禮巷,10之25號,,屏東縣屏東市湖南里11鄰歸禮巷10之25號,農業資材室不得設戶籍,200191.51,2505777.58,170847,屏東縣政府
TW,台灣省,屏東縣,屏東市,湖南里,8,,歸禮巷,53號,,屏東縣屏東市湖南里8鄰歸禮巷53號,農業設施不得設戶籍,199369.33,2505912.44,170847,屏東縣政府
TW,台灣省,屏東縣,潮州鎮,光華里,4,中山路,,32號,4,屏東縣潮州鎮光華里4鄰中山路32號四樓,屏東縣潮州戶政事務所,203072.02,2494525.1,170847,屏東縣政府
TW,台灣省,屏東縣,東港鎮,新街里,4,明禮五街,,10號,,屏東縣東港鎮新街里4鄰明禮五街10號,資源回收站不得設籍,194732.94,2485806.64,170847,屏東縣政府
TW,台灣省,屏東縣,東港鎮,朝安里,7,新生三路,,173號,,屏東縣東港鎮朝安里7鄰新生三路173號,公共設施不得設籍,192735.62,2485458.9,170847,屏東縣政府
TW,台灣省,屏東縣,東港鎮,東津里,7,船頭路,,5號,3,屏東縣東港鎮東津里7鄰船頭路5號三樓,東港戶政事務所,194234.23,2485063.96,170847,屏東縣政府
TW,台灣省,屏東縣,東港鎮,興農里,1,興和路,,500號,,屏東縣東港鎮興農里1鄰興和路500號,農業資材室不得設籍,196131.3,2487649.19,170847,屏東縣政府
TW,台灣省,屏東縣,東港鎮,船頭里,13,大利路一段,,69之1號,,屏東縣東港鎮船頭里13鄰大利路一段69之1號,工業設施不得設立戶籍,194892.25,2485132.19,170847,屏東縣政府
TW,台灣省,屏東縣,恆春鎮,城南里,2,天文路,,60號,,屏東縣恆春鎮城南里2鄰天文路60號,恆春戶政事務所,223743.33,2433929.56,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,上村村,1,上興路,,426號,,屏東縣萬丹鄉上村村1鄰上興路426號,農牧設施不得設籍,196141.23,2500531.37,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,上村村,6,大圳路,,79號,,屏東縣萬丹鄉上村村6鄰大圳路79號,農業資材室不得設戶籍,196317.44,2499733.1,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,上村村,6,社皮路一段,,16號,,屏東縣萬丹鄉上村村6鄰社皮路一段16號,農業資材室不得設戶籍,195643.16,2499641.76,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,寶厝村,18,福德街280巷,,5號,,屏東縣萬丹鄉寶厝村18鄰福德街280巷5號,畜牧設施不得設籍,196408.2,2498114.13,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,新庄村,9,萬順路一段,,303號,,屏東縣萬丹鄉新庄村9鄰萬順路一段303號,菇類栽培場,197045.37,2496419.18,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,新庄村,9,萬順路一段,,301號,,屏東縣萬丹鄉新庄村9鄰萬順路一段301號,菇類栽培場,197048.27,2496427.12,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,新庄村,19,萬順路一段,,41號,,屏東縣萬丹鄉新庄村19鄰萬順路一段41號,農業管理室,198346.01,2496123.69,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,水泉村,4,大發路300巷,,82號,,屏東縣萬丹鄉水泉村4鄰大發路300巷82號,農業資材室不得設戶籍,197879.46,2497102.46,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,灣內村,10,幸福路189巷,,198號,,屏東縣萬丹鄉灣內村10鄰幸福路189巷198號,農業資材室不得設戶籍,194402.78,2496195.05,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,灣內村,10,香內路683巷,,58號,,屏東縣萬丹鄉灣內村10鄰香內路683巷58號,溫室農業資材室不得設戶籍,193965.21,2495896.77,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,磚寮村,8,大昌路930巷,,39號,,屏東縣萬丹鄉磚寮村8鄰大昌路930巷39號,農業資材室不得設戶籍,194993.59,2502632.89,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,磚寮村,8,大昌路930巷,,45號,,屏東縣萬丹鄉磚寮村8鄰大昌路930巷45號,農業資材室不得設戶籍,195025.12,2502651.36,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,磚寮村,8,大昌路930巷,,47號,,屏東縣萬丹鄉磚寮村8鄰大昌路930巷47號,農業資材室不得設戶籍,195029.43,2502654.15,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,磚寮村,2,慈濟路,,189號,,屏東縣萬丹鄉磚寮村2鄰慈濟路189號,農業設施,194535.83,2502681.98,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,萬全村,8,丹榮路,,718號,,屏東縣萬丹鄉萬全村8鄰丹榮路718號,農業資材室不得設戶籍,197868.26,2499138.89,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,萬後村,2,和平西路,,159號,,屏東縣萬丹鄉萬後村2鄰和平西路159號,萬丹戶政事務所,196996.45,2498883,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,香社村,11,保香路671巷,,10號,,屏東縣萬丹鄉香社村11鄰保香路671巷10號,菇類栽培場不得設戶籍,195677.09,2497199.2,170847,屏東縣政府
TW,台灣省,屏東縣,萬丹鄉,香社村,1,香社路,,100號,,屏東縣萬丹鄉香社村1鄰香社路100號,農業設施不得設戶籍,195783.45,2496138.89,170847,屏東縣政府
TW,台灣省,屏東縣,長治鄉,繁榮村,13,昌榮街,,122號,,屏東縣長治鄉繁榮村13鄰昌榮街122號,農業設施,205642.14,2511740.71,170847,屏東縣政府
TW,台灣省,屏東縣,長治鄉,繁華村,8,水源路169巷,,7號,,屏東縣長治鄉繁華村8鄰水源路169巷7號,農業設施,204663.63,2510654.85,170847,屏東縣政府
TW,台灣省,屏東縣,長治鄉,進興村,14,潭頭路,,1之1號,,屏東縣長治鄉進興村14鄰潭頭路1之1號,內埔戶政事務所長治辦公室,201469.9,2508573.76,170847,屏東縣政府
TW,台灣省,屏東縣,長治鄉,進興村,5,,進興巷,46之5號,,屏東縣長治鄉進興村5鄰進興巷46之5號,畜牧設施,202068.27,2508303.09,170847,屏東縣政府
TW,台灣省,屏東縣,長治鄉,長興村,18,長春街二段158巷,,21之1號,,屏東縣長治鄉長興村18鄰長春街二段158巷21之1號,農業資材室,199849.98,2508755.71,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,18,信義路農場巷,,11之2號,,屏東縣麟洛鄉新田村18鄰信義路農場巷11之2號,農業設施菇類栽培場,203423.86,2506495.63,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,18,信義路農場巷,,11之3號,,屏東縣麟洛鄉新田村18鄰信義路農場巷11之3號,資材室不得設戶籍,203514.67,2506449.75,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,9,民族路新圍巷,,7之16號,,屏東縣麟洛鄉新田村9鄰民族路新圍巷7之16號,資材室不得設戶籍,202942.67,2506962.59,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,17,民族路,,452之15號,,屏東縣麟洛鄉新田村17鄰民族路452之15號,資材室不得設戶籍,203719.03,2506938.88,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,19,民生路麟安巷,,1之15號,,屏東縣麟洛鄉新田村19鄰民生路麟安巷1之15號,農業設施溫室,203323.09,2506151.06,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,7,民生路麟安巷,,2之6號,,屏東縣麟洛鄉新田村7鄰民生路麟安巷2之6號,資材室不得設戶籍,203304.55,2506078.92,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,19,民生路麟安巷,,9之5號,,屏東縣麟洛鄉新田村19鄰民生路麟安巷9之5號,資材室不得設戶籍,203385.41,2506326.81,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,新田村,7,民生路,,134之1號,,屏東縣麟洛鄉新田村7鄰民生路134之1號,農業設施溫室,202721.15,2505680.75,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田中村,6,中華路泰安巷,,22之1號,,屏東縣麟洛鄉田中村6鄰中華路泰安巷22之1號,資材室不得設戶籍,200349.08,2505080.6,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田心村,11,中正路立德巷,,15號,,屏東縣麟洛鄉田心村11鄰中正路立德巷15號,資材室不得設戶籍,200756.85,2503547.68,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田心村,5,中正路,,387號,,屏東縣麟洛鄉田心村5鄰中正路387號,資材室不得設戶籍,201102.66,2503360.05,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田心村,5,中正路,,389號,,屏東縣麟洛鄉田心村5鄰中正路389號,資材室不得設戶籍,201128.06,2503381.49,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田心村,5,中正路,,391號,,屏東縣麟洛鄉田心村5鄰中正路391號,資材室不得設戶籍,201164.84,2503405.25,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,田心村,5,中正路,,393號,,屏東縣麟洛鄉田心村5鄰中正路393號,資材室不得設戶籍,201199.42,2503430.5,170847,屏東縣政府
TW,台灣省,屏東縣,麟洛鄉,麟趾村,1,中山路,,437之1號,,屏東縣麟洛鄉麟趾村1鄰中山路437之1號,萬丹戶政事務所麟洛辦公室,201177.44,2505824.13,170847,屏東縣政府
TW,台灣省,屏東縣,九如鄉,東寧村,23,九如路二段,,418號,,屏東縣九如鄉東寧村23鄰九如路二段418號,里港戶政事務所九如辦公室,197673.63,2515659.58,170847,屏東縣政府
TW,台灣省,屏東縣,里港鄉,中和村,1,西隆路,,13之7號,,屏東縣里港鄉中和村1鄰西隆路13之7號,農業資材室,196730.41,2523823.13,170847,屏東縣政府
TW,台灣省,屏東縣,里港鄉,土庫村,3,土庫路,,127之13號,,屏東縣里港鄉土庫村3鄰土庫路127之13號,畜牧設施,198789.53,2524033.5,170847,屏東縣政府
