addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,巷,弄,號,TWD97橫坐標,TWD97縱坐標,WGS84經度,WGS84緯度
TW,臺中市,東勢區,延平里,015,本街一巷49弄,1號,,,臺中市東勢區延平里015鄰本街一巷49弄1號,232646.08651,2682809.61346,120.829098816665,24.250800169596
TW,臺中市,東勢區,延平里,015,本街一巷49弄,2號,,,臺中市東勢區延平里015鄰本街一巷49弄2號,232657.8386,2682810.46637,120.829214540454,24.250808001496
TW,臺中市,東勢區,延平里,015,本街一巷49弄,3號,,,臺中市東勢區延平里015鄰本街一巷49弄3號,232643.9663,2682813.23242,120.82907789326,24.250832822966
TW,臺中市,東勢區,延平里,015,本街一巷49弄,4號,,,臺中市東勢區延平里015鄰本街一巷49弄4號,232655.54744,2682814.77627,120.829191925236,24.250846892198
TW,臺中市,東勢區,延平里,015,本街一巷49弄,5號,,,臺中市東勢區延平里015鄰本街一巷49弄5號,232641.57928,2682817.66378,120.82905433251,24.250872805124
TW,臺中市,東勢區,延平里,015,本街一巷49弄,6號,,,臺中市東勢區延平里015鄰本街一巷49弄6號,232652.70384,2682819.37622,120.829163866098,24.250888395267
TW,臺中市,東勢區,延平里,015,本街一巷49弄,7號,,,臺中市東勢區延平里015鄰本街一巷49弄7號,232639.38706,2682821.35646,120.829032699037,24.250906125854
TW,臺中市,東勢區,延平里,015,本街一巷49弄,8號,,,臺中市東勢區延平里015鄰本街一巷49弄8號,232650.28372,2682823.80054,120.829139979481,24.250928313868
TW,臺中市,東勢區,延平里,015,本街一巷49弄,9號,,,臺中市東勢區延平里015鄰本街一巷49弄9號,232637.36823,2682825.19312,120.829012771353,24.250940748711
TW,臺中市,東勢區,延平里,015,本街一巷49弄,10號,,,臺中市東勢區延平里015鄰本街一巷49弄10號,232648.17344,2682827.85135,120.829119148644,24.250964867985
TW,臺中市,東勢區,延平里,015,本街一巷49弄,11號,,,臺中市東勢區延平里015鄰本街一巷49弄11號,232634.79421,2682829.89319,120.828987365744,24.250983157654
TW,臺中市,東勢區,延平里,015,本街一巷49弄,12號,,,臺中市東勢區延平里015鄰本街一巷49弄12號,232646.22316,2682831.55382,120.829099897682,24.250998272663
TW,臺中市,東勢區,延平里,015,本街一巷49弄,14號,,,臺中市東勢區延平里015鄰本街一巷49弄14號,232644.09633,2682835.22967,120.829078908363,24.251031440626
TW,臺中市,東勢區,延平里,015,本街一巷49弄,16號,,,臺中市東勢區延平里015鄰本街一巷49弄16號,232641.99487,2682838.78786,120.829058170301,24.251063543415
TW,臺中市,東勢區,延平里,015,本街一巷49弄,18號,,,臺中市東勢區延平里015鄰本街一巷49弄18號,232639.84337,2682842.70479,120.829036935102,24.251098887146
TW,臺中市,東區,十甲里,003,十甲巷30弄,7號,,,臺中市東區十甲里003鄰十甲巷30弄7號,220113.329,2671338.4231,120.705915017343,24.14703553022
TW,臺中市,東區,十甲里,003,十甲巷30弄,9號,,,臺中市東區十甲里003鄰十甲巷30弄9號,220108.829,2671338.4031,120.705870738191,24.147035264312
TW,臺中市,東區,十甲里,003,十甲巷30弄,11號,,,臺中市東區十甲里003鄰十甲巷30弄11號,220104.429,2671338.3741,120.705827443216,24.147034919025
TW,臺中市,東區,十甲里,003,十甲巷30弄,13號,,,臺中市東區十甲里003鄰十甲巷30弄13號,220100.099,2671343.4831,120.705784730831,24.147080967519
TW,臺中市,東區,十甲里,003,十甲巷30弄,15號,,,臺中市東區十甲里003鄰十甲巷30弄15號,220095.759,2671338.6531,120.705742125487,24.147037273748
TW,臺中市,東區,十甲里,003,十甲巷30弄,17號,,,臺中市東區十甲里003鄰十甲巷30弄17號,220091.619,2671338.8341,120.705701384545,24.147038829507
TW,臺中市,東區,十甲里,003,十甲巷30弄,19號,,,臺中市東區十甲里003鄰十甲巷30弄19號,220087.4591,2671339.0231,120.705660447622,24.147040457111
TW,臺中市,東區,十甲里,003,十甲巷30弄,21號,,,臺中市東區十甲里003鄰十甲巷30弄21號,220082.5904,2671341.3511,120.705612491935,24.147061384894
TW,臺中市,東區,十甲里,003,十甲巷30弄,23號,,,臺中市東區十甲里003鄰十甲巷30弄23號,220077.2988,2671340.9281,120.705560431844,24.14705746507
TW,臺中市,東區,十甲里,003,十甲巷30弄,29號,,,臺中市東區十甲里003鄰十甲巷30弄29號,220059.0591,2671341.8741,120.705380935353,24.147065660445
TW,臺中市,東區,十甲里,005,十甲巷30弄,30號,,,臺中市東區十甲里005鄰十甲巷30弄30號,220047.4492,2671375.043,120.705266008214,24.147364932229
TW,臺中市,東區,十甲里,003,十甲巷30弄,31號,,,臺中市東區十甲里003鄰十甲巷30弄31號,220050.7492,2671341.4741,120.705299175007,24.147061890875
TW,臺中市,東區,十甲里,002,十甲巷30弄,32號,,,臺中市東區十甲里002鄰十甲巷30弄32號,220039.2622,2671375.298,120.705185443441,24.147367079113
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,,,臺中市東區十甲里002鄰十甲巷30弄34號,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,2,1,臺中市東區十甲里002鄰十甲巷30弄34號二樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,2,2,臺中市東區十甲里002鄰十甲巷30弄34號二樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,3,2,臺中市東區十甲里002鄰十甲巷30弄34號三樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,3,1,臺中市東區十甲里002鄰十甲巷30弄34號三樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,4,2,臺中市東區十甲里002鄰十甲巷30弄34號四樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,4,1,臺中市東區十甲里002鄰十甲巷30弄34號四樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,5,1,臺中市東區十甲里002鄰十甲巷30弄34號五樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,5,2,臺中市東區十甲里002鄰十甲巷30弄34號五樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,6,2,臺中市東區十甲里002鄰十甲巷30弄34號六樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,6,1,臺中市東區十甲里002鄰十甲巷30弄34號六樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,7,1,臺中市東區十甲里002鄰十甲巷30弄34號七樓之1,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,34號,7,2,臺中市東區十甲里002鄰十甲巷30弄34號七樓之2,220027.9821,2671379.099,120.70507436931,24.147401184989
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,,,臺中市東區十甲里002鄰十甲巷30弄36號,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,2,,臺中市東區十甲里002鄰十甲巷30弄36號二樓,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,3,2,臺中市東區十甲里002鄰十甲巷30弄36號三樓之2,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,3,1,臺中市東區十甲里002鄰十甲巷30弄36號三樓之1,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,4,1,臺中市東區十甲里002鄰十甲巷30弄36號四樓之1,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,4,2,臺中市東區十甲里002鄰十甲巷30弄36號四樓之2,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,5,1,臺中市東區十甲里002鄰十甲巷30弄36號五樓之1,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,5,2,臺中市東區十甲里002鄰十甲巷30弄36號五樓之2,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,6,1,臺中市東區十甲里002鄰十甲巷30弄36號六樓之1,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,6,2,臺中市東區十甲里002鄰十甲巷30弄36號六樓之2,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,7,2,臺中市東區十甲里002鄰十甲巷30弄36號七樓之2,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,東區,十甲里,002,十甲巷30弄,36號,7,1,臺中市東區十甲里002鄰十甲巷30弄36號七樓之1,220019.2783,2671370.704,120.704988898521,24.147325218635
TW,臺中市,南區,平和里,006,和平一巷2弄,1號,,,臺中市南區平和里006鄰和平一巷2弄1號,216558.7206,2668340.8321,120.67100732889,24.119898068593
TW,臺中市,南區,平和里,005,和平一巷2弄,2號,,,臺中市南區平和里005鄰和平一巷2弄2號,216512.4409,2668334.2231,120.670552191498,24.119837412827
TW,臺中市,南區,平和里,005,和平一巷2弄,3號,,,臺中市南區平和里005鄰和平一巷2弄3號,216544.5807,2668343.4521,120.670868162954,24.11992142568
TW,臺中市,南區,平和里,007,和平一巷2弄,4號,,,臺中市南區平和里007鄰和平一巷2弄4號,216512.8608,2668329.4032,120.670556433804,24.119793900572
TW,臺中市,南區,平和里,006,和平一巷2弄,5號,,,臺中市南區平和里006鄰和平一巷2弄5號,216544.6107,2668337.7131,120.670868590624,24.119869607236
TW,臺中市,南區,平和里,007,和平一巷2弄,6之1號,,,臺中市南區平和里007鄰和平一巷2弄6之1號,216500.3489,2668295.4523,120.670434129498,24.119487081744
TW,臺中市,南區,平和里,007,和平一巷2弄,6號,,,臺中市南區平和里007鄰和平一巷2弄6號,216499.4689,2668319.4232,120.670424917944,24.119703504109
TW,臺中市,南區,平和里,007,和平一巷2弄,6之2號,,,臺中市南區平和里007鄰和平一巷2弄6之2號,216500.3489,2668295.4523,120.670434129498,24.119487081744
TW,臺中市,南區,平和里,006,和平一巷2弄,7號,,,臺中市南區平和里006鄰和平一巷2弄7號,216549.7307,2668342.4521,120.670918850695,24.119912505544
TW,臺中市,南區,平和里,007,和平一巷2弄,8號,,,臺中市南區平和里007鄰和平一巷2弄8號,216504.9679,2668307.7672,120.67047928539,24.119598375442
TW,臺中市,南區,平和里,007,和平一巷2弄,8之1號,,,臺中市南區平和里007鄰和平一巷2弄8之1號,216515.5248,2668322.2822,120.67058280626,24.119729659536
TW,臺中市,南區,平和里,006,和平一巷2弄,9號,,,臺中市南區平和里006鄰和平一巷2弄9號,216551.1307,2668338.7021,120.670932710194,24.119878675386
TW,臺中市,南區,平和里,007,和平一巷2弄,10號,,,臺中市南區平和里007鄰和平一巷2弄10號,216510.1209,2668316.1622,120.670529785353,24.11967428565
TW,臺中市,南區,平和里,007,和平一巷2弄,12號,,,臺中市南區平和里007鄰和平一巷2弄12號,216523.8818,2668327.5632,120.670664898564,24.119777520467
TW,臺中市,南區,平和里,007,和平一巷2弄,14號,,,臺中市南區平和里007鄰和平一巷2弄14號,216529.0208,2668329.7132,120.670715405266,24.119797042419
TW,臺中市,南區,平和里,006,和平一巷2弄,15號,,,臺中市南區平和里006鄰和平一巷2弄15號,216564.4907,2668339.8321,120.671064117028,24.119889161547
TW,臺中市,南區,平和里,007,和平一巷2弄,16號,,,臺中市南區平和里007鄰和平一巷2弄16號,216528.4808,2668341.3321,120.670709824404,24.119901942255
