source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:place,addr:housename,addr:housenumber,x,y
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,2號,274370.450,2761301.450
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,3號,274353.280,2761301.300
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,4號,274330.740,2761301.500
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,5號,274313.940,2761300.310
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,6號,274289.030,2761301.100
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,7號,274272.220,2761301.890
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,8號,274379.350,2761357.860
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,9號,274371.150,2761352.740
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,10號,274369.100,2761327.000
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,11號,274350.910,2761319.290
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,12號,274332.920,2761321.860
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,14號,274285.270,2761324.830
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,15號,274269.650,2761324.430
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,,20號,274314.130,2761321.860
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,1號,274340.410,2761406.690
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,2號,274346.310,2761406.940
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,3號,274350.240,2761406.630
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,4號,274355.750,2761406.950
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,5號,274373.120,2761428.340
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,6號,274380.010,2761426.860
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,7號,274380.010,2761406.940
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,仁愛樓,8號,274378.530,2761396.360
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,1號,274304.980,2761373.980
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,2號,274327.120,2761373.980
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,3號,274347.540,2761374.470
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,4號,274354.920,2761375.940
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,5號,274356.640,2761347.650
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,6號,274347.290,2761347.410
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,7號,274330.070,2761345.690
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,和平樓,8號,274305.230,2761345.690
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,18之3號,274378.480,2761373.020
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,18之1號,274379.520,2761377.420
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,18之2號,274380.990,2761371.760
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,18號,274377.810,2761382.630
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,19之3號,274370.120,2761377.210
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,19之1號,274370.660,2761379.630
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,19之2號,274370.170,2761372.990
桃園市政府,157689,TW,桃園市,中壢區,普忠里,13,中原新村,忍耐樓,19號,274371.150,2761384.550
