source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,description,x,y
桃園市政府,157689,TW,桃園市,桃園區,福林里,1,介壽路,,497之999號,,桃園市桃園區福林里1鄰介壽路497之999號,為統計使用,280597.800,2763219.810
桃園市政府,157689,TW,桃園市,桃園區,龍鳳里,10,國豐三街,,123號,,桃園市桃園區龍鳳里10鄰國豐三街123號,桃園區戶政事務所,278132.030,2764722.330
桃園市政府,157689,TW,桃園市,中壢區,普義里,4,溪洲街,,298號,,桃園市中壢區普義里4鄰溪洲街298號,中壢區戶政事務所,273243.790,2761632.950
桃園市政府,157689,TW,桃園市,大溪區,一心里,39,康莊路,,181號,4,桃園市大溪區一心里39鄰康莊路181號四樓,桃園市大溪區戶政事務所,279168.410,2752474.790
桃園市政府,157689,TW,桃園市,楊梅區,上田里,13,高上路二段61巷,,92號,,桃園市楊梅區上田里13鄰高上路二段61巷92號,農業資材室,264399.640,2759729.380
桃園市政府,157689,TW,桃園市,楊梅區,永寧里,2,校前路,,409號,3,桃園市楊梅區永寧里2鄰校前路409號三樓,桃園市楊梅區戶政事務所,265120.920,2754375.790
桃園市政府,157689,TW,桃園市,楊梅區,高榮里,3,高上路一段,,480號,,桃園市楊梅區高榮里3鄰高上路一段480號,農業資材室,265120.380,2759663.940
桃園市政府,157689,TW,桃園市,蘆竹區,內厝里,4,長安路二段,,236號,4,桃園市蘆竹區內厝里4鄰長安路二段236號四樓,蘆竹區戶政事務所,278308.560,2772799.740
桃園市政府,157689,TW,桃園市,大園區,大園里,18,中山北路,,162號,,桃園市大園區大園里18鄰中山北路162號,大園區戶政事務所,269772.290,2773317.720
桃園市政府,157689,TW,桃園市,龜山區,兔坑里,11,大同路,,916號,,桃園市龜山區兔坑里11鄰大同路916號,增建教室,286096.480,2764584.580
桃園市政府,157689,TW,桃園市,龜山區,南上里,5,民生北路一段,,164號,,桃園市龜山區南上里5鄰民生北路一段164號,增建,280536.680,2769703.790
桃園市政府,157689,TW,桃園市,龜山區,大同里,13,大同路410巷1弄,,4號,,桃園市龜山區大同里13鄰大同路410巷1弄4號,增建,285296.610,2764385.330
桃園市政府,157689,TW,桃園市,龜山區,大同里,11,德明路,,5號,,桃園市龜山區大同里11鄰德明路5號,增建教室,284759.650,2764140.390
桃園市政府,157689,TW,桃園市,龜山區,大同里,11,德明路,,5號,,桃園市龜山區大同里11鄰德明路5號,增建宿舍,284759.650,2764140.390
桃園市政府,157689,TW,桃園市,龜山區,大坑里,2,南上路566巷,,36號,,桃園市龜山區大坑里2鄰南上路566巷36號,增建,281146.960,2770691.540
桃園市政府,157689,TW,桃園市,龜山區,大坑里,6,南上路663巷36弄,,67號,,桃園市龜山區大坑里6鄰南上路663巷36弄67號,農業資材室不得設籍,282230.350,2771159.500
桃園市政府,157689,TW,桃園市,龜山區,大坑里,10,樹人路200巷,,36之1號,,桃園市龜山區大坑里10鄰樹人路200巷36之1號,新增建,284326.630,2770683.830
桃園市政府,157689,TW,桃園市,龜山區,嶺頂里,6,萬壽路二段,,374之1號,,桃園市龜山區嶺頂里6鄰萬壽路二段374之1號,增建,285729.930,2766033.580
桃園市政府,157689,TW,桃園市,龜山區,文化里,19,復興三路,,667號,,桃園市龜山區文化里19鄰復興三路667號,新建倉庫,287742.500,2770088.770
桃園市政府,157689,TW,桃園市,龜山區,文化里,19,華亞一路,,68號,,桃園市龜山區文化里19鄰華亞一路68號,增建,287632.270,2770190.490
