addr:TW:dataset,source,addr:country,addr:province,addr:city,addr:district,addr:village,addr:neighborhood,addr:street,addr:housenumber,addr:full,description,x,y
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,三光里,10,板橋路,78之3,雲林縣斗六市三光里10鄰板橋路78之3號,農業資材室,201378.886,2617085.896
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,三光里,1,頂柴路,2之72,雲林縣斗六市三光里1鄰頂柴路2之72號,農業資材室,202805.72,2617867.59
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,三光里,2,頂柴路,3之66,雲林縣斗六市三光里2鄰頂柴路3之66號,農業資材室,202891.3,2617399.25
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,13,久安南路220巷,62,雲林縣斗六市久安里13鄰久安南路220巷62號,農業資材室,200178.11,2618940.29
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,13,久安南路220巷,66,雲林縣斗六市久安里13鄰久安南路220巷66號,農業資材室,200166.21,2618934.61
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,13,久安南路220巷,68,雲林縣斗六市久安里13鄰久安南路220巷68號,農業資材室,200133.4,2618931.03
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,3,久安東路,21,雲林縣斗六市久安里3鄰久安東路21號,農業資材室,200304.1,2620129.3
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,13,久安東路,189,雲林縣斗六市久安里13鄰久安東路189號,農業設施,200613.95,2619444
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,3,久安西路159巷,5,雲林縣斗六市久安里3鄰久安西路159巷5號,農業資材室,199747.08,2619941.42
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,3,久安西路,250,雲林縣斗六市久安里3鄰久安西路250號,農業資材室,199646.57,2619667.54
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,14,江厝路,100之21,雲林縣斗六市久安里14鄰江厝路100之21號,農業資材室,201507.21,2619261.93
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,14,深圳路,1之47,雲林縣斗六市久安里14鄰深圳路1之47號,農業設施,201277.56,2619394.64
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,14,深圳路,1之60,雲林縣斗六市久安里14鄰深圳路1之60號,農業資材室,201355.57,2619156.99
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,14,深圳路,2之39,雲林縣斗六市久安里14鄰深圳路2之39號,捲揚式加強型溫室,201391.976,2619768.333
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,20,雲林路三段,373,雲林縣斗六市久安里20鄰雲林路三段373號,農業資材室,200297.07,2621126.01
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,久安里,21,雲林路三段,503,雲林縣斗六市久安里21鄰雲林路三段503號,農業資材室,199640.97,2620816.18
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,保庄里,14,保長路,59之7,雲林縣斗六市保庄里14鄰保長路59之7號,農業資材室,201708.83,2622392.46
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,保庄里,7,建興路,124之26,雲林縣斗六市保庄里7鄰建興路124之26號,農業設施,201509.45,2623190.18
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,保庄里,11,建興路,300之3,雲林縣斗六市保庄里11鄰建興路300之3號,農業資材室,200968.91,2622940.28
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,保庄里,11,建興路,332,雲林縣斗六市保庄里11鄰建興路332號,農業資材室,200935.84,2623117.33
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,保庄里,24,雲林路三段,376,雲林縣斗六市保庄里24鄰雲林路三段376號,農機具室,199902.758,2620993.035
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,7,北祥街,869,雲林縣斗六市八德里7鄰北祥街869號,農業資材室,204785.981,2623730.457
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,21,引善路,75,雲林縣斗六市八德里21鄰引善路75號,農業資材室,206136.076,2623432.215
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,15,文化路788巷,55,雲林縣斗六市八德里15鄰文化路788巷55號,農業資材室,205628.86,2623307.27
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,19,文化路,845,雲林縣斗六市八德里19鄰文化路845號,農業資材室,206319.75,2623987.35
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,19,文化路,901,雲林縣斗六市八德里19鄰文化路901號,農業資材室,206302.56,2624073.04
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,7,豐興路15巷,46,雲林縣斗六市八德里7鄰豐興路15巷46號,農業資材室,204809.44,2623415.48
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,八德里,6,豐興路110巷,69,雲林縣斗六市八德里6鄰豐興路110巷69號,農業資材室,205153.224,2623679.603
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,十三里,11,十三東路,1之9,雲林縣斗六市十三里11鄰十三東路1之9號,農業資材室,205972.83,2625655.76
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,十三里,11,十三東路,6之8,雲林縣斗六市十三里11鄰十三東路6之8號,農業設施,206027.09,2625657.98
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,十三里,11,十三東路,61之12,雲林縣斗六市十三里11鄰十三東路61之12號,農業資材室,206329.78,2626491.88
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,7,劉厝路,1之20,雲林縣斗六市嘉東里7鄰劉厝路1之20號,農業資材室,204556.19,2619317
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,1,嘉東南路,116,雲林縣斗六市嘉東里1鄰嘉東南路116號,農業資材室,203571.32,2619938.93
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,5,成功路,766之8,雲林縣斗六市嘉東里5鄰成功路766之8號,農業資材室,204973.52,2620399.27
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,5,成功路,766之9,雲林縣斗六市嘉東里5鄰成功路766之9號,農業設施,204958.14,2620400.5
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,5,成功路,768之15,雲林縣斗六市嘉東里5鄰成功路768之15號,農業設施,204732.32,2620483.24
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,5,鎮南路,709,雲林縣斗六市嘉東里5鄰鎮南路709號,農業資材室,203541.006,2621173.248
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,5,鎮南路,777,雲林縣斗六市嘉東里5鄰鎮南路777號,農業資材室,203595.86,2621049.64
166201,雲林縣政府,TW,台灣省,雲林縣,斗六市,嘉東里,1,鎮南路,950,雲林縣斗六市嘉東里1鄰鎮南路950號,農業資材室,203950.77,2620288.63
