source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,description,x,y
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,21,大仁路,6號,7,,高雄市鹽埕區光明里21鄰大仁路6號七樓,高雄市鼓山戶政事務所鹽埕辦公處,176681.440,2502898.360
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2號,,,高雄市鹽埕區南端里5鄰大義街2號,設籍應先查實,176483.830,2502220.920
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2之1號,,,高雄市鹽埕區南端里5鄰大義街2之1號,設籍應先查實,176509.180,2502211.450
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2之2號,,,高雄市鹽埕區南端里5鄰大義街2之2號,設籍應先查實,176533.960,2502202.540
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2之3號,,,高雄市鹽埕區南端里5鄰大義街2之3號,設籍應先查實,176560.700,2502191.680
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2之5號,,,高雄市鹽埕區南端里5鄰大義街2之5號,設籍應先查實,176584.650,2502181.370
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,5,大義街,2之6號,,,高雄市鹽埕區南端里5鄰大義街2之6號,設籍應先查實,176608.600,2502168.560
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,大勇路,1號,,,高雄市鹽埕區新化里8鄰大勇路1號,設籍應先查實,176153.800,2502377.160
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,大勇路,3號,,,高雄市鹽埕區新化里8鄰大勇路3號,設籍應先查實,176169.110,2502417.270
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,大勇路,5號,,,高雄市鹽埕區新化里8鄰大勇路5號,設籍應先查實,176183.040,2502443.450
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,大勇路,5之1號,,,高雄市鹽埕區新化里8鄰大勇路5之1號,設籍應先查實,176162.150,2502453.760
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,大勇路,5之2號,,,高雄市鹽埕區新化里8鄰大勇路5之2號,設籍應先查實,176140.980,2502466.290
高雄市政府,160248,TW,高雄市,鹽埕區,新化里,8,新化街,32號,,,高雄市鹽埕區新化里8鄰新化街32號,設籍應先查實,176390.810,2502293.610
高雄市政府,160248,TW,高雄市,鼓山區,寶樹里,1,鼓山二路,166號,,,高雄市鼓山區寶樹里1鄰鼓山二路166號,高雄市鼓山戶政事務所,176096.840,2504242.160
高雄市政府,160248,TW,高雄市,左營區,進學里,1,左營大路,479號,,,高雄市左營區進學里1鄰左營大路479號,高雄市左營戶政事務所,177574.820,2510115.360
高雄市政府,160248,TW,高雄市,楠梓區,惠楠里,6,楠梓新路,264號,,,高雄市楠梓區惠楠里6鄰楠梓新路264號,高雄市楠梓戶政事務所,180797.450,2514367.440
高雄市政府,160248,TW,高雄市,三民區,十全里,2,熱河二街,237號,,,高雄市三民區十全里2鄰熱河二街237號,設籍應先查實,177530.080,2505085.930
高雄市政府,160248,TW,高雄市,三民區,寶珠里,2,大順二路,468號,9,1,高雄市三民區寶珠里2鄰大順二路468號九樓之1,三民戶政事務所,180627.030,2505608.950
高雄市政府,160248,TW,高雄市,新興區,中東里,1,中正三路,34號,,,高雄市新興區中東里1鄰中正三路34號,高雄市新興戶政事務所,179082.910,2503596.120
高雄市政府,160248,TW,高雄市,新興區,東坡里,5,林森一路,163號,屋頂突出物之一,,高雄市新興區東坡里5鄰林森一路163號屋頂突出物之一,,178500.870,2503495.310
高雄市政府,160248,TW,高雄市,前金區,林投里,5,自強二路,169號,,,高雄市前金區林投里5鄰自強二路169號,高雄市新興戶政事務所前金辦公處,177456.570,2503211.900
高雄市政府,160248,TW,高雄市,苓雅區,日中里,1,四維三路,107號,,,高雄市苓雅區日中里1鄰四維三路107號,增建三樓,178903.769,2502179.869
高雄市政府,160248,TW,高雄市,苓雅區,晴朗里,16,民權一路,85號,,,高雄市苓雅區晴朗里16鄰民權一路85號,苓雅戶政事務所,179290.830,2502565.760
高雄市政府,160248,TW,高雄市,前鎮區,平等里,14,康定路,151號,,,高雄市前鎮區平等里14鄰康定路151號,前鎮戶政事務所,179912.250,2498669.240
高雄市政府,160248,TW,高雄市,旗津區,南汕里,3,旗津三路,2號,,,高雄市旗津區南汕里3鄰旗津三路2號,旗津區戶政事務所,176436.640,2499104.820
高雄市政府,160248,TW,高雄市,旗津區,南汕里,3,旗津三路,2號,,,高雄市旗津區南汕里3鄰旗津三路2號,高雄市鼓山戶政事務所旗津辦公處,176436.720,2499104.770
高雄市政府,160248,TW,高雄市,小港區,港南里,2,小港路,158號,,,高雄市小港區港南里2鄰小港路158號,小港戶政事務所,181925.280,2496291.370
高雄市政府,160248,TW,高雄市,鳳山區,新興里,16,經武路34巷,1號,,,高雄市鳳山區新興里16鄰經武路34巷1號,高雄市鳳山戶政事務所,184534.740,2503168.400
高雄市政府,160248,TW,高雄市,鳳山區,武慶里,15,武營路,361號,,,高雄市鳳山區武慶里15鄰武營路361號,排氣測量站,181774.980,2501829.800
高雄市政府,160248,TW,高雄市,鳳山區,福誠里,11,福誠三街,72號,,,高雄市鳳山區福誠里11鄰福誠三街72號,本建物為廁所不得作為設籍使用,180367.960,2499413.370
高雄市政府,160248,TW,高雄市,林園區,王公里,10,王公路,1號,,,高雄市林園區王公里10鄰王公路1號,高雄市大寮戶政事務所林園辦公處,187701.440,2490473.940
高雄市政府,160248,TW,高雄市,大寮區,會社里,13,鳳林三路,375號,,,高雄市大寮區會社里13鄰鳳林三路375號,高雄市大寮戶政事務所,188014.590,2500360.160
