source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y
高雄市政府,160248,TW,高雄市,鹽埕區,中山里,1,七賢三路,123號,B1,,高雄市鹽埕區中山里1鄰七賢三路123號地下一層,176185.277,2503067.916
高雄市政府,160248,TW,高雄市,鹽埕區,中山里,4,七賢三路,147號,B1,,高雄市鹽埕區中山里4鄰七賢三路147號地下一層,176231.682,2503150.918
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,15,大仁路,43號,B1,,高雄市鹽埕區光明里15鄰大仁路43號地下一層,176580.044,2502898.161
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,大勇路,96號,B1,,高雄市鹽埕區光明里12鄰大勇路96號地下一層,176447.670,2502883.710
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,大勇路,106號,B1,,高雄市鹽埕區光明里12鄰大勇路106號地下一層,176474.997,2502911.909
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,大勇路,106號,B2,,高雄市鹽埕區光明里12鄰大勇路106號地下二層,176474.997,2502911.909
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,大勇路,106號,B3,,高雄市鹽埕區光明里12鄰大勇路106號地下三層,176474.997,2502911.909
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,14,莒光街,197號,1,,高雄市鹽埕區光明里14鄰莒光街197號一層,176509.999,2502872.908
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,莒光街,213號,B1,,高雄市鹽埕區光明里12鄰莒光街213號地下一層,176520.700,2502905.909
高雄市政府,160248,TW,高雄市,鹽埕區,光明里,12,莒光街,219號,B1,,高雄市鹽埕區光明里12鄰莒光街219號地下一層,176536.000,2502925.900
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,1,大義街,105號,B1,,高雄市鹽埕區南端里1鄰大義街105號地下一層,176616.404,2502582.899
高雄市政府,160248,TW,高雄市,鹽埕區,南端里,1,大義街,107號,B1,1,高雄市鹽埕區南端里1鄰大義街107號地下一層之1,176625.805,2502586.899
