source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:place,addr:housename,addr:housenumber,addr:floor,addr:full,x,y
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,1號,2,高雄市橋頭區白樹里21鄰精忠新村一棟二樓1號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,1號,1,高雄市橋頭區白樹里21鄰精忠新村一棟一樓1號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,1號,3,高雄市橋頭區白樹里21鄰精忠新村二棟三樓1號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,1號,3,高雄市橋頭區白樹里21鄰精忠新村一棟三樓1號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,1號,1,高雄市橋頭區白樹里21鄰精忠新村二棟一樓1號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,1號,4,高雄市橋頭區白樹里21鄰精忠新村一棟四樓1號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,1號,2,高雄市橋頭區白樹里21鄰精忠新村二棟二樓1號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,1號,4,高雄市橋頭區白樹里21鄰精忠新村二棟四樓1號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,2號,3,高雄市橋頭區白樹里21鄰精忠新村一棟三樓2號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,2號,4,高雄市橋頭區白樹里21鄰精忠新村一棟四樓2號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,2號,4,高雄市橋頭區白樹里21鄰精忠新村二棟四樓2號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,2號,2,高雄市橋頭區白樹里21鄰精忠新村二棟二樓2號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,2號,3,高雄市橋頭區白樹里21鄰精忠新村二棟三樓2號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,2號,1,高雄市橋頭區白樹里21鄰精忠新村一棟一樓2號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,2號,2,高雄市橋頭區白樹里21鄰精忠新村一棟二樓2號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,2號,1,高雄市橋頭區白樹里21鄰精忠新村二棟一樓2號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,3號,4,高雄市橋頭區白樹里21鄰精忠新村二棟四樓3號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,3號,3,高雄市橋頭區白樹里21鄰精忠新村二棟三樓3號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,3號,3,高雄市橋頭區白樹里21鄰精忠新村一棟三樓3號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,3號,1,高雄市橋頭區白樹里21鄰精忠新村一棟一樓3號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,3號,4,高雄市橋頭區白樹里21鄰精忠新村一棟四樓3號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,3號,2,高雄市橋頭區白樹里21鄰精忠新村一棟二樓3號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,3號,1,高雄市橋頭區白樹里21鄰精忠新村二棟一樓3號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,3號,2,高雄市橋頭區白樹里21鄰精忠新村二棟二樓3號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,4號,4,高雄市橋頭區白樹里21鄰精忠新村二棟四樓4號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,4號,3,高雄市橋頭區白樹里21鄰精忠新村二棟三樓4號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,4號,1,高雄市橋頭區白樹里21鄰精忠新村一棟一樓4號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,4號,2,高雄市橋頭區白樹里21鄰精忠新村一棟二樓4號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,4號,4,高雄市橋頭區白樹里21鄰精忠新村一棟四樓4號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,4號,1,高雄市橋頭區白樹里21鄰精忠新村二棟一樓4號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,4號,3,高雄市橋頭區白樹里21鄰精忠新村一棟三樓4號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,4號,2,高雄市橋頭區白樹里21鄰精忠新村二棟二樓4號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,二棟,5號,4,高雄市橋頭區白樹里21鄰精忠新村二棟四樓5號,178048.420,2517641.960
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,5號,4,高雄市橋頭區白樹里21鄰精忠新村一棟四樓5號,178062.390,2517630.150
高雄市政府,160248,TW,高雄市,橋頭區,白樹里,21,精忠新村,一棟,5號,1,高雄市橋頭區白樹里21鄰精忠新村一棟一樓5號,178062.390,2517630.150
