ref,is_in:district,description,operator,contact:phone,opening_hours,longitude,latitude,status,status:date,url,image
0131h,大安,北水處長興淨水場淨水大樓1樓臺北市大安區長興街131號淨水大樓1樓,北水處水質科,+886 2 8733 5687,24/7,121.548456,25.014828,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131h.JPG
0131k,新店,北水處教育中心教室旁新北市新店區直潭路2號教室旁,北水處教育中心教室旁,+886 2 8369 5171,24/7,121.528263,24.940303,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131k,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131k.JPG
0132a,新店,北水處直潭淨水場中控大樓新北市新店區直潭路2號中控大樓,北水處直潭淨水場,+886 2 2666 8471轉516,24/7,121.527821,24.941067,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132a.JPG
0132b,新店,北水處直潭淨水場中控大樓新北市新店區直潭路2號中控大樓,北水處直潭淨水場,+886 2 2666 8471轉516,24/7,121.527821,24.941067,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132b.JPG
0158a,中正,東門站臺北市中正區信義路二段101號與金山南路1段口1、3號出口間,臺北大眾捷運股份有限公司(紅綠線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.527621,25.034183,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158a.JPG
0158b,中正,東門站臺北市中正區信義路二段101號與金山南路1段口1、3號出口間,臺北大眾捷運股份有限公司(紅綠線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.527621,25.034183,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158b.JPG
0227a,萬華,青年公園臺北市萬華區水源路199號愛心園地,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.506281,25.025879,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227a.JPG
0227b,萬華,青年公園臺北市萬華區青年路176號對面(兒童遊憩區)四號門兒童遊戲區左側,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.503226,25.021047,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227b.JPG
0227d,萬華,青年公園臺北市萬華區水源路199號籃球場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.504870,25.020720,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227d,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227d.JPG
0227e,萬華,青年公園臺北市萬華區水源路199號(防災公園)水源路跑道旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.504442,25.020395,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227e,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227e.JPG
0227f,萬華,青年公園臺北市萬華區青年路190號對面兒童溜滑梯沙坑旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.504050,25.020456,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227f,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227f.JPG
0227g,萬華,青年公園臺北市萬華區青年路96號對面棒球場入口廣場座椅旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.502871,25.022893,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227g,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227g.JPG
0227h,萬華,青年公園臺北市萬華區青年路196號對面馬場町紀念公園水門入口對面,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.504153,25.020133,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227h.JPG
0227i,萬華,青年公園臺北市萬華區青年路50號對面太陽能圖書管入口廣場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.504006,25.025154,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227i,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227i.JPG
0227j,萬華,青年公園臺北市萬華區水源路199號泳池旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.506237,25.023712,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227j,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227j.JPG
0258,萬華,剝皮寮歷史街區臺北市萬華區廣州街129-1號廣場剝皮寮歷史街區,剝皮寮歷史街區西側,,24/7,121.502531,25.036644,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0258,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0258.JPG
0261,萬華,西本願寺臺北市萬華區長沙街2段13號對面長沙街二段13號對面,工務局公園處園藝工程隊,+886 2 2381 5132＃318,24/7,121.506827,25.040455,正常,20220113100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261.JPG
0261a,萬華,西本願寺臺北市萬華區長沙街二段21號對面人行道旁,工務局公園處園藝工程隊,+886 2 2381 5132＃318,24/7,121.506796,25.040552,正常,20220113100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261a.JPG
0262a,萬華,武昌街電影公園臺北市萬華區武昌街2段126號前武昌街廣場北方,財團法人臺北市文化基金會,+886 2 2312 3717轉19,24/7,121.503337,25.045439,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0262a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0262a.JPG
0263,萬華,和平青草園臺北市萬華區西園路一段與艋舺大道交叉口展覽室,工務局公園處青年管理所,+886 2 2700 3830,024/7,121.497068,25.032466,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0263,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0263.JPG
0264,萬華,長順公園臺北市萬華區長順街46巷公園西側,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.488941,25.031875,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0264,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0264.JPG
0265a,萬華,糖「部」園區臺北市萬華區大理街160巷旁廣場東北側,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.494195,25.033273,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0265a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0265a.JPG
0265b,萬華,糖「部」園區臺北市萬華區大理街160巷旁特色遊戲場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.494689,25.033557,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0265b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0265b.JPG
0266,萬華,紅樓臺北市萬華區成都路12號成都路、漢中街口,西門紅樓,,24/7,121.507233,25.042204,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0266,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0266.JPG
0267,萬華,華西公園臺北市萬華區華西街21巷內Ubike旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.498765,25.038697,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0267,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0267.JPG
0268,萬華,寺前公園臺北市萬華區西園路1段282巷內草坪上,工務局公園處青年管理所,+886 2 2700 3830,024/7,121.499219,25.033575,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0268,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0268.JPG
